Hex Engine	,	3	,	GOLD	,	223.0000	,	2014-10-10	,	1
Hideous Conversion	,	4	,	PLATINUM	,	47.5000	,	2014-10-10	,	4
High Tomb Lord	,	6	,	PLATINUM	,	349.0000	,	2014-10-10	,	1
His Majesty King Gabriel	,	6	,	PLATINUM	,	260.2000	,	2014-10-10	,	5
Honeycap	,	2	,	GOLD	,	600.0000	,	2014-10-10	,	1
Hop'hiro Samurai	,	4	,	PLATINUM	,	112.7500	,	2014-10-10	,	4
Howling Ambush	,	3	,	PLATINUM	,	11.0000	,	2014-10-10	,	1
Howling Ambush	,	3	,	GOLD	,	1000.0000	,	2014-10-10	,	3
Howling Brave	,	2	,	PLATINUM	,	4.4615	,	2014-10-10	,	13
Howling Brave	,	2	,	GOLD	,	487.5000	,	2014-10-10	,	4
Immortality	,	4	,	GOLD	,	6000.0000	,	2014-10-10	,	1
Immortality	,	4	,	PLATINUM	,	52.1429	,	2014-10-10	,	7
Imp Hoodlums	,	3	,	GOLD	,	1333.6667	,	2014-10-10	,	3
Incantation of Ascendance	,	4	,	PLATINUM	,	104.5000	,	2014-10-10	,	2
Incantation of Fear	,	4	,	PLATINUM	,	35.7500	,	2014-10-10	,	4
Incantation of Fear	,	4	,	GOLD	,	14969.0000	,	2014-10-10	,	1
Incantation of Fury	,	4	,	GOLD	,	14999.0000	,	2014-10-10	,	1
Incantation of Righteousness	,	4	,	PLATINUM	,	101.8000	,	2014-10-10	,	5
Incantation of Savagery	,	4	,	PLATINUM	,	59.0000	,	2014-10-10	,	1
Incite Fury	,	2	,	GOLD	,	25.0000	,	2014-10-10	,	6
Incubation Slave	,	3	,	GOLD	,	1095.0000	,	2014-10-10	,	2
Infernal Professor	,	4	,	PLATINUM	,	105.8333	,	2014-10-10	,	6
Inferno	,	4	,	PLATINUM	,	75.0000	,	2014-10-10	,	1
Infusion of Diamond	,	3	,	PLATINUM	,	12.5000	,	2014-10-10	,	2
Infusion of Diamond	,	3	,	GOLD	,	302.0000	,	2014-10-10	,	1
Inner Conflict	,	2	,	GOLD	,	79.4286	,	2014-10-10	,	7
Ivory Pawn	,	2	,	GOLD	,	150.0000	,	2014-10-10	,	2
Jadiim	,	6	,	PLATINUM	,	330.0000	,	2014-10-10	,	4
Jovial Pippit	,	5	,	PLATINUM	,	2000.0000	,	2014-10-10	,	1
Judgement	,	4	,	GOLD	,	5750.0000	,	2014-10-10	,	2
Judgement	,	4	,	PLATINUM	,	31.0000	,	2014-10-10	,	3
Kindling Skarn	,	4	,	PLATINUM	,	119.0000	,	2014-10-10	,	1
Kraken Guard Mariner	,	3	,	PLATINUM	,	11.7500	,	2014-10-10	,	4
Kraken Guard Mariner	,	3	,	GOLD	,	2899.0000	,	2014-10-10	,	1
Legionnaire of Gawaine	,	4	,	GOLD	,	12000.0000	,	2014-10-10	,	2
Life Siphon	,	4	,	PLATINUM	,	259.0000	,	2014-10-10	,	1
Living Totem	,	4	,	PLATINUM	,	267.0000	,	2014-10-10	,	7
Lord Adam the Powerful	,	4	,	PLATINUM	,	48.0000	,	2014-10-10	,	2
Lord Alexander the Courageous	,	4	,	PLATINUM	,	128.0000	,	2014-10-10	,	1
Lord Alexander the Courageous	,	4	,	GOLD	,	20000.0000	,	2014-10-10	,	1
Lord Benjamin the Wise	,	4	,	PLATINUM	,	45.0000	,	2014-10-10	,	3
Malfunctioning War Bot	,	3	,	GOLD	,	568.6667	,	2014-10-10	,	3
Malice Demon	,	4	,	GOLD	,	6000.0000	,	2014-10-10	,	1
Malice Demon	,	4	,	PLATINUM	,	31.0000	,	2014-10-10	,	1
Mancubus	,	4	,	GOLD	,	5500.0000	,	2014-10-10	,	1
Manti Elder Druid	,	3	,	GOLD	,	107.0000	,	2014-10-10	,	1
Master Theorycrafter	,	4	,	GOLD	,	1037.5000	,	2014-10-10	,	2
Master Theorycrafter	,	4	,	PLATINUM	,	60.0000	,	2014-10-10	,	4
Mazat Ranger	,	2	,	GOLD	,	50.0000	,	2014-10-10	,	1
Menacing Gralk	,	4	,	PLATINUM	,	668.2500	,	2014-10-10	,	4
Midnight Shepherd	,	4	,	PLATINUM	,	47.0000	,	2014-10-10	,	3
Mimic	,	3	,	PLATINUM	,	21.6667	,	2014-10-10	,	3
Minotaur Mercenary	,	3	,	GOLD	,	108.0000	,	2014-10-10	,	1
Misfortune	,	2	,	PLATINUM	,	4.0000	,	2014-10-10	,	1
Monkey of the Nine Tails	,	3	,	PLATINUM	,	11.0000	,	2014-10-10	,	1
Monkey of the Nine Tails	,	3	,	GOLD	,	68.0000	,	2014-10-10	,	1
Moon'ariu Sensei	,	2	,	GOLD	,	76.7368	,	2014-10-10	,	19
Mortar Strike	,	2	,	GOLD	,	99.0000	,	2014-10-10	,	1
Murder	,	2	,	GOLD	,	145.2143	,	2014-10-10	,	14
Murder	,	2	,	PLATINUM	,	4.0000	,	2014-10-10	,	1
Mystic of the Tranquil Dream	,	2	,	GOLD	,	40.0000	,	2014-10-10	,	2
Mystic of the Tranquil Dream	,	2	,	PLATINUM	,	4.0000	,	2014-10-10	,	2
Nature Reigns	,	2	,	GOLD	,	120.0000	,	2014-10-10	,	2
Necessary Sacrifice	,	3	,	PLATINUM	,	23.7333	,	2014-10-10	,	15
